english,french,german
addict,accro,süchtiger
america,amérique,amerika
assad,assad,assad
asylum,asyle,asyl
clinton,clinton,clinton
gov,gov,gov
government,gouvernement,regierung
india,inde,indien
not afraid,pas peur,nicht ängstlich
overwatch,overwatch,overwatch
refugees,réfugiés,flüchtlinge
sadly,malheureusement,traurig
sonic mania,sonic mania,sonic mania
spain,espagne,spanien
stress relief,diminuer le stress,entspannung
suicidesquad,suicidesquad,suicidesquad
syria,syrie,syrien
trump,trump,trump
usa,usa,usa
vine,vine,vine
play,toxico,
olivia,,abhängingleit
suicide squad,,suchtkranke
