english,french,german,swiss_german
addict,accro,sucht,
afraid,peur,angst,angscht
agoraphobia,agoraphobie,,
alcoholism,alcoolisme,alcoholismus,
alone,seul,allein,allei
anorexia,anorexie,anorexie,
antidepressants,anti dépresseurs,antidepressiva,
anxiety,anxiété,sorgen,
anxiety disorder,trouble de l'anxiété,angststörung,
ashamed,honte,schähme,schäm
asylum,asile,asylum,
bipolar,bipolaire,manisch depressiv,
feeling blue,triste,traurig,trurig
breakdown,dépression,zusammenbruch,
compulsive,compulsif,zwanghaft,
cry,pleurer,weinen,"brüele, hüle"
depressed,déprimé,deprimiert,
depression,dépression,depression,
disorder,trouble,störung,
distracted,distrait,abgelenkt,
distressed,bouleversé,verzweifelt,
eating disorder,trouble de l'alimentation,esstörung,
euphoric,euphorique,manisch,
exhausted,fatigué,erschöpft,
Hallucinating,halluciner,halluzinieren,
homesick,mal du pays,heimweh,
hopeless,sans espoir,hoffnungslos,hoffnigslos
hyperactive,hyperactif,hyper aktiv,
hypomania,hypomanie,manisch,
killing myself,me tuer,mich umbringen,
lexomil,lexomil,lexomil,
lithium,lithium,,
lonely,solitaire,einsam,
mania,manie,manie,
Manic depression,maniaco-dépression,,
melancholy,mélancolie,melancholish,
mental health,santé mentale,psychische gesundheit,
mood disorder,trouble de l'humeur,stimmungs störung,
moody,morose,launisch,
insomnia,insomnie,schlaflaus,
not focused,pas concentré,nicht konzentriert,
obsessional,obsessif,obsessiv,
obsessional compulsive disorder,trouble obsessionel compulsif,OCD,
OCD,TOC,,
Paranoid,parano,paranoid,
psychotic,psychotique,psychotisch,
sad,triste,traurig,
Schizo,schizo,schizo,
Schizophrenia,schizophrénie,schizophrenie,
schizophrenic,schizophrène,,
self-harm,mutilation,selbstverletzung,
shoot myself,me tirer une balle,mich erschiessen,
sleeping pill,somnifère,schlafpillen,
social anxiety,agoraphobie,sozial phobie,
Split personality,dédoublement de la personnalité,,
stress,stress,stress,
suicide,suicide,selbstmord,
therapist,thérapeute,psychiater,
winter blues,,,
winter depression,dépression hivernale,winter depression,
xanax,xanax,xanax,
,double personnalité,,
,troublé,,
,,euphorisch,
,,verwirrt,
,,beklemmt,
,,depri,
,,herbstdepression,
